迁出省份,迁出城市,0201,0202,0203,0204,0205,0206,0207,0208,0209,0210,0211,0212,0213,0214,0215,0216,0217,0218,0219,0220,0221,0222,0223,0224,0225,0226,0227,0228,0229
重庆市,重庆市,15.06,12.38,15.5,15.42,14.98,15.28,14.83,14.77,15.8,14.74,13.96,14.27,11.32,14.65,11.27,11.93,12.24,11.46,11.42,10.33,9.55,11.09,11.29,12.17,12.9,12.98,9.99,13.8,15.53
河南省,南阳市,11.84,10.8,11.6,12.29,13.41,12.69,12.29,11.97,12.84,12.53,13.3,11.4,10.52,10.0,9.79,10.44,10.95,10.37,9.98,9.36,8.38,8.07,7.04,6.94,7.94,9.13,7.63,12.06,11.8
湖南省,岳阳市,9.28,7.9,8.68,9.56,10.28,10.38,10.06,10.17,9.69,9.7,9.0,8.66,9.05,8.28,8.27,8.83,8.25,8.21,8.36,7.68,8.11,6.94,6.4,6.23,5.53,5.65,7.22,9.49,9.46
湖南省,常德市,7.52,6.36,7.72,8.45,8.76,8.5,8.87,8.53,8.76,8.56,7.95,7.6,7.87,6.51,7.8,7.45,7.25,7.37,7.71,7.46,7.57,6.43,5.72,5.25,5.21,4.46,6.56,7.23,8.31
湖南省,湘西土家族苗族自治州,5.74,5.29,5.85,5.57,5.97,5.92,6.16,5.36,5.47,6.05,5.8,5.72,6.82,5.53,7.0,6.49,5.87,6.53,6.33,6.04,5.53,5.02,5.1,4.9,4.17,4.44,5.45,4.92,5.28
江西省,九江市,3.68,3.39,4.08,4.35,4.05,4.04,3.88,4.16,4.03,3.91,3.62,3.81,4.74,5.43,4.8,5.39,4.76,5.42,5.37,5.18,5.24,4.57,4.24,4.33,4.12,4.14,5.1,3.69,4.19
陕西省,安康市,3.64,3.39,4.05,3.68,3.64,3.34,3.53,3.28,3.59,3.48,3.57,3.67,3.58,4.86,4.03,4.46,4.61,3.83,3.6,4.02,4.13,4.51,3.88,3.86,4.09,3.64,4.14,3.49,3.97
河南省,信阳市,3.62,3.29,3.38,2.94,3.02,2.98,3.09,2.89,2.79,2.83,2.83,3.41,3.19,3.82,3.15,3.11,3.54,3.17,3.14,3.6,3.08,3.87,3.74,3.63,3.64,3.29,3.22,3.39,2.97
安徽省,安庆市,2.57,2.48,3.34,2.85,2.83,2.72,2.61,2.78,2.67,2.8,2.62,3.08,3.13,3.38,3.1,3.02,3.2,2.89,2.76,2.73,3.04,2.98,3.71,3.36,3.29,3.08,3.04,2.95,2.64
广东省,深圳市,2.4,2.13,2.65,2.15,2.57,2.67,2.53,2.68,2.44,2.73,2.53,3.03,2.82,2.5,2.61,2.49,2.74,2.33,2.24,2.49,2.51,2.87,3.12,3.28,3.21,2.74,2.58,2.77,1.97
广东省,东莞市,2.15,2.11,2.44,2.09,2.1,2.54,1.92,2.55,2.32,2.04,2.53,2.92,2.69,2.49,2.26,2.12,2.34,2.18,2.15,2.38,2.5,2.78,2.89,2.63,2.44,2.39,2.32,2.4,1.86
广东省,广州市,1.86,2.05,2.34,2.09,1.92,2.03,1.9,1.59,1.79,1.81,2.42,2.16,2.35,2.17,2.24,1.94,2.33,2.16,2.06,2.25,2.43,2.69,2.26,2.11,2.37,2.39,2.13,2.09,1.86
湖南省,长沙市,1.37,1.75,1.48,1.37,1.2,1.65,1.47,1.55,1.44,1.6,1.81,1.63,2.03,1.81,2.23,1.91,1.72,2.13,2.06,2.2,1.82,1.82,2.2,2.02,2.16,2.33,1.92,1.75,1.47
湖南省,张家界市,1.16,1.23,1.02,1.16,1.15,1.1,1.09,0.99,1.29,1.45,1.49,1.56,1.83,1.72,2.16,1.65,1.57,1.91,1.84,2.08,1.81,1.76,2.16,1.98,1.82,1.65,1.73,1.31,0.99
安徽省,六安市,0.96,1.22,0.91,1.05,0.9,1.04,0.93,0.93,1.07,1.06,1.18,1.11,1.65,1.71,1.69,1.34,1.56,1.36,1.49,1.7,1.74,1.75,1.73,1.77,1.74,1.61,1.44,0.8,0.87
上海市,上海市,0.76,1.08,0.85,0.98,0.72,0.87,0.86,0.79,1.01,0.85,0.92,0.86,1.16,1.48,1.35,1.05,0.99,0.99,1.2,1.44,1.64,1.48,1.58,1.62,1.35,1.4,1.42,0.75,0.86
陕西省,商洛市,0.72,0.84,0.82,0.69,0.71,0.68,0.81,0.73,0.68,0.75,0.78,0.7,0.84,1.11,0.9,0.9,0.95,0.89,1.14,1.22,1.28,1.41,1.39,1.32,1.25,1.3,1.37,0.75,0.82
北京市,北京市,0.72,0.84,0.7,0.63,0.7,0.65,0.71,0.73,0.66,0.7,0.78,0.64,0.82,0.99,0.83,0.88,0.91,0.88,0.95,1.02,1.1,1.24,1.25,1.3,1.13,1.04,1.36,0.73,0.66
河南省,郑州市,0.71,0.79,0.69,0.62,0.57,0.57,0.62,0.66,0.65,0.7,0.67,0.64,0.76,0.65,0.79,0.86,0.79,0.81,0.93,1.02,0.85,1.23,1.16,1.16,1.11,1.0,0.97,0.67,0.66
浙江省,杭州市,0.66,0.79,0.61,0.59,0.57,0.56,0.53,0.64,0.65,0.68,0.64,0.6,0.71,0.62,0.76,0.7,0.75,0.79,0.88,0.83,0.84,0.87,0.84,1.01,0.97,0.94,0.77,0.61,0.6
湖南省,株洲市,0.63,0.76,0.59,0.58,0.55,0.5,0.5,0.64,0.58,0.58,0.62,0.59,0.7,0.56,0.72,0.7,0.72,0.77,0.74,0.74,0.76,0.71,0.77,0.95,0.97,0.92,0.66,0.6,0.57
四川省,成都市,0.63,0.65,0.56,0.55,0.48,0.5,0.5,0.63,0.55,0.51,0.57,0.58,0.67,0.54,0.72,0.69,0.69,0.71,0.63,0.73,0.75,0.67,0.76,0.95,0.92,0.92,0.63,0.6,0.48
安徽省,合肥市,0.62,0.64,0.52,0.53,0.47,0.47,0.5,0.61,0.53,0.48,0.56,0.57,0.6,0.5,0.63,0.58,0.67,0.71,0.6,0.7,0.74,0.67,0.74,0.87,0.79,0.89,0.58,0.6,0.46
江西省,南昌市,0.61,0.64,0.52,0.53,0.46,0.44,0.49,0.5,0.51,0.48,0.47,0.55,0.49,0.49,0.58,0.52,0.58,0.63,0.51,0.67,0.63,0.64,0.74,0.82,0.77,0.78,0.57,0.56,0.46
广东省,佛山市,0.57,0.61,0.5,0.52,0.46,0.38,0.46,0.49,0.47,0.47,0.47,0.52,0.46,0.48,0.57,0.5,0.55,0.6,0.51,0.62,0.61,0.61,0.72,0.74,0.77,0.77,0.55,0.54,0.44
河南省,驻马店市,0.55,0.6,0.5,0.46,0.45,0.37,0.45,0.46,0.45,0.46,0.45,0.47,0.43,0.39,0.54,0.47,0.52,0.57,0.5,0.58,0.6,0.59,0.67,0.72,0.72,0.76,0.54,0.53,0.43
广东省,中山市,0.54,0.59,0.47,0.45,0.44,0.36,0.42,0.44,0.45,0.43,0.41,0.45,0.42,0.38,0.51,0.47,0.52,0.53,0.48,0.55,0.59,0.57,0.67,0.7,0.69,0.7,0.54,0.5,0.43
安徽省,芜湖市,0.53,0.55,0.46,0.44,0.43,0.35,0.42,0.43,0.41,0.42,0.4,0.43,0.42,0.37,0.45,0.45,0.52,0.48,0.48,0.52,0.59,0.53,0.63,0.68,0.67,0.62,0.52,0.45,0.4
广东省,惠州市,0.53,0.55,0.42,0.42,0.42,0.33,0.41,0.4,0.4,0.41,0.37,0.4,0.4,0.35,0.43,0.43,0.5,0.44,0.47,0.51,0.59,0.53,0.59,0.63,0.65,0.55,0.51,0.43,0.4
江苏省,苏州市,0.5,0.5,0.42,0.36,0.39,0.33,0.39,0.4,0.36,0.4,0.37,0.37,0.4,0.35,0.42,0.42,0.43,0.43,0.46,0.5,0.56,0.52,0.58,0.59,0.59,0.52,0.47,0.37,0.4
河南省,洛阳市,0.48,0.49,0.31,0.34,0.32,0.33,0.38,0.4,0.35,0.39,0.36,0.35,0.39,0.35,0.38,0.42,0.38,0.42,0.44,0.48,0.54,0.49,0.55,0.58,0.53,0.51,0.45,0.37,0.39
江苏省,南京市,0.48,0.47,0.29,0.33,0.3,0.31,0.35,0.39,0.35,0.39,0.32,0.33,0.39,0.33,0.37,0.42,0.36,0.41,0.44,0.44,0.54,0.49,0.54,0.47,0.51,0.51,0.45,0.36,0.39
湖南省,衡阳市,0.41,0.45,0.28,0.33,0.3,0.3,0.35,0.36,0.34,0.36,0.32,0.32,0.39,0.33,0.36,0.42,0.35,0.41,0.42,0.38,0.54,0.48,0.53,0.46,0.5,0.49,0.44,0.35,0.36
河南省,周口市,0.39,0.45,0.26,0.29,0.29,0.29,0.34,0.35,0.32,0.34,0.31,0.32,0.37,0.32,0.35,0.39,0.32,0.39,0.41,0.37,0.52,0.45,0.52,0.45,0.46,0.49,0.44,0.35,0.35
安徽省,阜阳市,0.38,0.43,0.25,0.28,0.27,0.29,0.34,0.35,0.3,0.32,0.3,0.32,0.35,0.32,0.34,0.37,0.29,0.38,0.38,0.35,0.49,0.44,0.5,0.44,0.45,0.46,0.43,0.34,0.32
广西壮族自治区,桂林市,0.38,0.42,0.25,0.25,0.27,0.28,0.34,0.35,0.28,0.3,0.29,0.31,0.35,0.31,0.34,0.35,0.28,0.36,0.36,0.35,0.49,0.41,0.48,0.44,0.44,0.46,0.41,0.33,0.31
天津市,天津市,0.36,0.39,0.25,0.24,0.25,0.27,0.33,0.34,0.26,0.3,0.29,0.3,0.34,0.31,0.33,0.35,0.28,0.36,0.33,0.34,0.46,0.4,0.48,0.43,0.42,0.42,0.4,0.33,0.3
陕西省,西安市,0.33,0.38,0.25,0.23,0.24,0.27,0.32,0.34,0.24,0.29,0.28,0.3,0.32,0.31,0.32,0.34,0.28,0.35,0.33,0.32,0.43,0.38,0.46,0.42,0.41,0.42,0.39,0.33,0.28
江苏省,盐城市,0.32,0.37,0.25,0.23,0.24,0.25,0.29,0.3,0.23,0.28,0.27,0.29,0.32,0.31,0.26,0.32,0.26,0.35,0.3,0.32,0.4,0.37,0.42,0.4,0.41,0.4,0.39,0.32,0.28
河南省,许昌市,0.31,0.37,0.24,0.23,0.23,0.22,0.29,0.29,0.23,0.27,0.26,0.27,0.31,0.29,0.25,0.32,0.25,0.34,0.3,0.32,0.35,0.37,0.4,0.4,0.39,0.39,0.38,0.31,0.27
福建省,福州市,0.29,0.34,0.22,0.22,0.23,0.22,0.28,0.27,0.23,0.26,0.26,0.27,0.3,0.27,0.25,0.31,0.24,0.31,0.29,0.32,0.33,0.36,0.4,0.4,0.37,0.37,0.37,0.3,0.27
江西省,赣州市,0.29,0.34,0.21,0.21,0.22,0.22,0.27,0.27,0.22,0.25,0.26,0.26,0.29,0.27,0.24,0.28,0.24,0.3,0.28,0.31,0.3,0.35,0.38,0.39,0.35,0.36,0.34,0.3,0.26
湖南省,益阳市,0.28,0.34,0.21,0.2,0.21,0.22,0.26,0.26,0.22,0.23,0.25,0.25,0.28,0.25,0.22,0.28,0.23,0.29,0.27,0.31,0.3,0.35,0.36,0.39,0.34,0.36,0.34,0.28,0.25
湖南省,永州市,0.27,0.31,0.2,0.2,0.2,0.22,0.25,0.26,0.22,0.22,0.24,0.25,0.27,0.22,0.2,0.27,0.23,0.27,0.26,0.3,0.27,0.34,0.35,0.37,0.33,0.36,0.33,0.25,0.24
吉林省,长春市,0.25,0.31,0.19,0.2,0.18,0.2,0.23,0.25,0.21,0.21,0.24,0.23,0.27,0.21,0.2,0.26,0.22,0.27,0.24,0.3,0.26,0.31,0.33,0.34,0.33,0.34,0.33,0.24,0.21
河北省,保定市,0.24,0.29,0.19,0.19,0.18,0.2,0.23,0.23,0.21,0.21,0.24,0.23,0.22,0.21,0.19,0.26,0.22,0.26,0.24,0.28,0.26,0.31,0.33,0.32,0.33,0.33,0.32,0.23,0.21
河南省,开封市,0.23,0.28,0.17,0.19,0.18,0.19,0.21,0.23,0.2,0.2,0.22,0.23,0.21,0.19,0.19,0.26,0.22,0.23,0.24,0.26,0.25,0.31,0.33,0.31,0.32,0.33,0.32,0.23,0.21
江西省,宜春市,0.23,0.28,0.17,0.19,0.16,0.19,0.2,0.22,0.19,0.2,0.21,0.23,0.21,0.19,0.19,0.25,0.21,0.23,0.24,0.25,0.25,0.3,0.31,0.31,0.3,0.33,0.29,0.23,0.21
湖南省,怀化市,0.23,0.27,0.17,0.18,0.15,0.18,0.18,0.21,0.19,0.19,0.21,0.21,0.21,0.19,0.19,0.25,0.21,0.22,0.24,0.25,0.25,0.29,0.29,0.3,0.29,0.31,0.29,0.23,0.21
浙江省,宁波市,0.21,0.26,0.17,0.18,0.15,0.18,0.17,0.21,0.19,0.19,0.2,0.2,0.2,0.19,0.19,0.24,0.2,0.21,0.22,0.25,0.25,0.29,0.28,0.28,0.29,0.31,0.28,0.23,0.2
浙江省,温州市,0.19,0.24,0.17,0.17,0.15,0.18,0.17,0.2,0.19,0.19,0.2,0.2,0.19,0.18,0.18,0.22,0.19,0.21,0.22,0.22,0.24,0.28,0.28,0.28,0.29,0.31,0.27,0.22,0.2
浙江省,台州市,0.19,0.23,0.16,0.17,0.15,0.17,0.17,0.2,0.18,0.17,0.19,0.2,0.19,0.17,0.18,0.21,0.19,0.21,0.21,0.22,0.24,0.27,0.27,0.27,0.28,0.31,0.27,0.21,0.19
贵州省,遵义市,0.19,0.22,0.15,0.17,0.15,0.16,0.16,0.2,0.18,0.17,0.19,0.19,0.19,0.17,0.18,0.2,0.19,0.2,0.21,0.22,0.24,0.27,0.27,0.27,0.27,0.31,0.25,0.21,0.19
河北省,邯郸市,0.18,0.21,0.15,0.16,0.15,0.16,0.16,0.19,0.17,0.16,0.19,0.19,0.19,0.15,0.18,0.2,0.19,0.2,0.2,0.22,0.24,0.26,0.26,0.26,0.26,0.27,0.25,0.2,0.19
河南省,漯河市,0.18,0.21,0.15,0.16,0.15,0.15,0.16,0.19,0.17,0.16,0.18,0.17,0.19,0.15,0.17,0.2,0.17,0.2,0.2,0.21,0.24,0.25,0.25,0.26,0.26,0.25,0.25,0.2,0.19
安徽省,池州市,0.17,0.21,0.15,0.16,0.14,0.14,0.14,0.19,0.16,0.15,0.18,0.17,0.18,0.15,0.17,0.19,0.17,0.19,0.2,0.21,0.23,0.24,0.25,0.24,0.25,0.24,0.24,0.2,0.18
浙江省,嘉兴市,0.16,0.21,0.15,0.15,0.14,0.14,0.14,0.18,0.15,0.15,0.18,0.17,0.18,0.15,0.17,0.18,0.17,0.19,0.2,0.2,0.22,0.24,0.23,0.24,0.25,0.23,0.24,0.2,0.18
江苏省,常州市,0.16,0.21,0.15,0.15,0.14,0.14,0.14,0.18,0.14,0.15,0.18,0.17,0.16,0.15,0.17,0.17,0.17,0.18,0.2,0.2,0.22,0.24,0.23,0.22,0.24,0.21,0.24,0.19,0.17
贵州省,贵阳市,0.16,0.2,0.15,0.15,0.13,0.13,0.14,0.18,0.14,0.15,0.17,0.17,0.16,0.15,0.16,0.17,0.17,0.17,0.19,0.18,0.21,0.21,0.21,0.22,0.22,0.2,0.24,0.19,0.17
广西壮族自治区,南宁市,0.16,0.2,0.15,0.14,0.13,0.13,0.13,0.16,0.14,0.15,0.17,0.17,0.16,0.15,0.16,0.16,0.17,0.17,0.18,0.17,0.21,0.21,0.21,0.21,0.21,0.2,0.24,0.18,0.17
山东省,青岛市,0.16,0.2,0.14,0.14,0.12,0.13,0.13,0.16,0.14,0.14,0.16,0.16,0.16,0.14,0.16,0.16,0.17,0.17,0.17,0.17,0.21,0.21,0.2,0.21,0.21,0.2,0.24,0.18,0.16
湖南省,郴州市,0.15,0.2,0.14,0.14,0.12,0.12,0.13,0.16,0.13,0.14,0.16,0.16,0.16,0.14,0.15,0.16,0.17,0.17,0.16,0.17,0.2,0.19,0.2,0.2,0.21,0.19,0.22,0.18,0.16
安徽省,铜陵市,0.15,0.2,0.14,0.14,0.12,0.12,0.13,0.16,0.13,0.14,0.16,0.16,0.15,0.14,0.15,0.15,0.17,0.16,0.16,0.16,0.19,0.19,0.19,0.19,0.2,0.19,0.21,0.18,0.16
江西省,上饶市,0.15,0.19,0.14,0.14,0.12,0.11,0.13,0.16,0.13,0.13,0.16,0.15,0.14,0.14,0.15,0.14,0.16,0.15,0.16,0.16,0.19,0.17,0.19,0.19,0.2,0.19,0.19,0.17,0.16
浙江省,绍兴市,0.14,0.18,0.13,0.13,0.11,0.11,0.13,0.13,0.13,0.13,0.16,0.15,0.14,0.13,0.15,0.14,0.16,0.15,0.16,0.16,0.19,0.17,0.19,0.17,0.2,0.18,0.19,0.17,0.16
河南省,商丘市,0.14,0.18,0.13,0.13,0.11,0.11,0.12,0.13,0.13,0.13,0.16,0.15,0.14,0.13,0.15,0.14,0.15,0.15,0.16,0.16,0.19,0.17,0.19,0.15,0.17,0.18,0.19,0.17,0.16
江苏省,扬州市,0.14,0.17,0.13,0.13,0.11,0.11,0.12,0.12,0.13,0.13,0.15,0.15,0.14,0.13,0.15,0.13,0.15,0.15,0.16,0.16,0.19,0.16,0.18,0.15,0.17,0.18,0.19,0.17,0.16
湖南省,邵阳市,0.13,0.17,0.13,0.13,0.11,0.11,0.12,0.12,0.13,0.12,0.15,0.15,0.14,0.13,0.14,0.13,0.15,0.15,0.15,0.15,0.17,0.15,0.18,0.15,0.17,0.17,0.19,0.16,0.15
山东省,菏泽市,0.13,0.17,0.12,0.13,0.11,0.11,0.12,0.12,0.13,0.12,0.15,0.15,0.13,0.13,0.14,0.13,0.13,0.15,0.15,0.15,0.17,0.15,0.16,0.15,0.17,0.16,0.19,0.16,0.15
湖南省,湘潭市,0.13,0.17,0.12,0.13,0.11,0.1,0.12,0.12,0.12,0.12,0.15,0.14,0.13,0.12,0.14,0.13,0.13,0.14,0.14,0.14,0.16,0.15,0.16,0.14,0.17,0.16,0.17,0.16,0.15
河南省,平顶山市,0.13,0.16,0.12,0.12,0.11,0.1,0.12,0.12,0.11,0.12,0.15,0.14,0.13,0.12,0.14,0.12,0.13,0.14,0.14,0.14,0.15,0.15,0.16,0.14,0.16,0.16,0.17,0.15,0.15
江苏省,无锡市,0.12,0.15,0.12,0.12,0.11,0.1,0.12,0.11,0.11,0.12,0.14,0.14,0.12,0.12,0.14,0.12,0.13,0.13,0.14,0.14,0.15,0.14,0.15,0.13,0.16,0.15,0.17,0.15,0.15
河北省,廊坊市,0.12,0.15,0.11,0.12,0.1,0.1,0.12,0.11,0.11,0.11,0.13,0.13,0.12,0.12,0.14,0.12,0.13,0.13,0.13,0.14,0.15,0.14,0.15,0.13,0.16,0.15,0.17,0.14,0.15
广东省,江门市,0.12,0.15,0.11,0.12,0.1,0.1,0.11,0.11,0.11,0.11,0.13,0.13,0.12,0.11,0.14,0.12,0.13,0.12,0.13,0.13,0.15,0.13,0.15,0.13,0.16,0.15,0.16,0.14,0.15
浙江省,金华市,0.12,0.15,0.11,0.12,0.1,0.1,0.11,0.11,0.11,0.11,0.13,0.13,0.12,0.11,0.14,0.11,0.12,0.12,0.12,0.12,0.14,0.13,0.15,0.13,0.16,0.15,0.16,0.14,0.15
福建省,泉州市,0.11,0.14,0.11,0.12,0.1,0.09,0.11,0.11,0.11,0.11,0.13,0.13,0.12,0.11,0.14,0.11,0.12,0.12,0.12,0.12,0.14,0.13,0.14,0.12,0.16,0.15,0.15,0.14,0.14
福建省,三明市,0.11,0.14,0.11,0.12,0.1,0.09,0.11,0.1,0.11,0.11,0.13,0.13,0.12,0.11,0.14,0.11,0.12,0.12,0.12,0.12,0.14,0.13,0.14,0.12,0.15,0.15,0.14,0.14,0.14
陕西省,咸阳市,0.11,0.14,0.11,0.11,0.1,0.09,0.11,0.1,0.11,0.1,0.12,0.13,0.12,0.11,0.13,0.11,0.12,0.12,0.12,0.12,0.14,0.13,0.13,0.12,0.14,0.15,0.14,0.13,0.14
河北省,石家庄市,0.1,0.14,0.11,0.11,0.09,0.09,0.11,0.1,0.11,0.1,0.12,0.13,0.11,0.11,0.13,0.11,0.11,0.12,0.12,0.12,0.13,0.13,0.13,0.12,0.13,0.14,0.14,0.13,0.14
山东省,济南市,0.1,0.14,0.11,0.11,0.09,0.09,0.11,0.1,0.1,0.1,0.11,0.12,0.11,0.1,0.13,0.1,0.11,0.11,0.12,0.11,0.13,0.13,0.12,0.12,0.13,0.14,0.14,0.12,0.14
广东省,汕头市,0.1,0.14,0.1,0.1,0.09,0.09,0.11,0.1,0.1,0.1,0.11,0.12,0.11,0.1,0.13,0.1,0.1,0.11,0.11,0.11,0.12,0.13,0.12,0.12,0.13,0.14,0.14,0.11,0.14
江苏省,镇江市,0.1,0.14,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.09,0.11,0.12,0.11,0.1,0.13,0.1,0.1,0.11,0.11,0.11,0.12,0.12,0.12,0.11,0.13,0.14,0.14,0.11,0.13
福建省,漳州市,0.1,0.14,0.1,0.1,0.09,0.09,0.1,0.1,0.09,0.09,0.11,0.12,0.1,0.09,0.13,0.1,0.1,0.11,0.11,0.1,0.11,0.12,0.12,0.11,0.12,0.14,0.14,0.11,0.12
广东省,韶关市,0.1,0.13,0.1,0.1,0.09,0.08,0.1,0.1,0.09,0.09,0.11,0.11,0.1,0.09,0.13,0.1,0.1,0.11,0.11,0.09,0.11,0.11,0.12,0.11,0.12,0.13,0.13,0.11,0.12
江西省,吉安市,0.09,0.13,0.1,0.1,0.09,0.08,0.09,0.1,0.09,0.08,0.1,0.11,0.09,0.09,0.12,0.1,0.09,0.11,0.11,0.09,0.11,0.11,0.12,0.11,0.12,0.13,0.13,0.11,0.12
辽宁省,沈阳市,0.09,0.13,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.08,0.1,0.11,0.09,0.09,0.11,0.09,0.08,0.11,0.1,0.09,0.1,0.11,0.11,0.11,0.12,0.13,0.13,0.11,0.12
河南省,新乡市,0.08,0.12,0.1,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.1,0.11,0.09,0.09,0.11,0.09,0.08,0.11,0.1,0.09,0.1,0.11,0.11,0.11,0.12,0.13,0.13,0.11,0.12
湖南省,娄底市,0.08,0.12,0.09,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.1,0.11,0.09,0.09,0.11,0.09,0.08,0.11,0.1,0.09,0.1,0.1,0.11,0.11,0.12,0.12,0.13,0.11,0.12
山东省,潍坊市,0.08,0.12,0.09,0.09,0.08,0.08,0.09,0.09,0.08,0.08,0.1,0.11,0.09,0.09,0.1,0.09,0.08,0.11,0.1,0.09,0.1,0.1,0.11,0.11,0.12,0.12,0.13,0.1,0.1
辽宁省,葫芦岛市,0.08,0.12,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.07,0.09,0.11,0.09,0.09,0.1,0.09,0.08,0.11,0.09,0.09,0.1,0.1,0.1,0.11,0.11,0.12,0.13,0.1,0.1
江西省,抚州市,0.08,0.12,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.07,0.09,0.1,0.09,0.09,0.1,0.09,0.08,0.1,0.09,0.09,0.1,0.1,0.1,0.11,0.11,0.12,0.13,0.1,0.1
河南省,焦作市,0.08,0.12,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.07,0.09,0.1,0.09,0.09,0.1,0.09,0.08,0.1,0.09,0.09,0.09,0.1,0.1,0.1,0.11,0.12,0.13,0.1,0.1
黑龙江省,哈尔滨市,0.08,0.12,0.09,0.08,0.07,0.08,0.08,0.09,0.08,0.07,0.09,0.1,0.08,0.09,0.1,0.08,0.08,0.09,0.09,0.09,0.09,0.1,0.09,0.1,0.11,0.11,0.12,0.1,0.09
山西省,临汾市,0.08,0.12,0.08,0.08,0.07,0.08,0.08,0.09,0.08,0.07,0.09,0.09,0.08,0.09,0.1,0.08,0.08,0.09,0.09,0.09,0.09,0.1,0.09,0.1,0.11,0.11,0.12,0.1,0.09
江西省,新余市,0.08,0.12,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.07,0.08,0.09,0.08,0.09,0.1,0.08,0.08,0.09,0.08,0.09,0.09,0.1,0.09,0.09,0.11,0.11,0.12,0.09,0.09
安徽省,宿州市,0.08,0.12,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.07,0.08,0.09,0.08,0.08,0.09,0.08,0.08,0.09,0.08,0.09,0.09,0.1,0.09,0.09,0.11,0.1,0.12,0.09,0.09
陕西省,宝鸡市,0.08,0.12,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.07,0.08,0.09,0.08,0.08,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.1,0.08,0.09,0.11,0.1,0.12,0.09,0.09
广西壮族自治区,柳州市,0.07,0.11,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.07,0.08,0.09,0.08,0.08,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.1,0.08,0.09,0.1,0.1,0.11,0.09,0.08
山西省,运城市,0.07,0.11,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.07,0.08,0.09,0.07,0.07,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.09,0.08,0.09,0.1,0.1,0.11,0.09,0.08
云南省,昆明市,0.07,0.1,0.08,0.08,0.07,0.08,0.07,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.08,0.08,0.07,0.09,0.08,0.07,0.08,0.08,0.08,0.09,0.1,0.1,0.11,0.09,0.08
